id,route,location,url,avg_stars,route_type,rating,pitches,length,area_latitude,area_longitude, desc, protection, num_votes
0,Access Denied,El Mirador > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/110149834/access-denied,2.9,Sport,5.10b/c,4,350.0,25.95044,-100.47755,This is a really great route~ with awesome exposure and a really cool summit. It climbs obvious dihedrals and good face climbing up to the ridge.     P1: 5.10a - 11 bolts   P2: 5.10a - 9 bolts    P3: 5.10c - 9 bolts - crux. Some cool handjams and good exposure.    P4: 5.9 - 8 bolts - Jugs to the summit.     You can link pitches and do the route route in two pitches.,12 draws + 60m Rope   Take 22 draws if you want to link pitches.,22
1,Agave Nectar,Sugar Shack > Cougar Canyon (Creek) - CONSTRUCTION IN PROGRESS > Bow Valley > Alberta > Canada > North America > International,https://www.mountainproject.com/route/110913861/agave-nectar,2.0,Sport,5.10b/c,1,,51.09642,-115.31766999999999,from tabvar:     Cool fins to roof~ thin holds over roof.,4 bolts to anchor,1
2,Ant & Bee do Yoga,The Hen House > Kamloops > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/112406525/ant-bee-do-yoga,2.7,Trad,5.10b/c,1,,50.57212,-120.13873999999998,A safe mixed route with a bit of run out up top. You should probably avoiding touching the large detached boulder to the right of the anchor. #7 on topo.,"mixed~ gear to 4""",3
3,Besame Fuerte,Pilon De Lolita > Loreto Area > Baja California Sur > Mexico > North America > International,https://www.mountainproject.com/route/116086400/besame-fuerte,2.0,Sport,5.10b/c,1,80.0,26.01097,-111.34166,Start on a slab under a left leaning arched roof. Follow bolts up and left to the arete at the left hand side of the arching roof. Turn the roof and follow the bolts on the arete to a two bolt anchor at ledge.,bolts,1
4,Big Momma's Rock,The Courtyard > Mamquam FSR > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/114457722/big-mommas-rock,3.0,Sport,5.10b/c,1,60.0,49.71393,-123.09943,Fun technical climbing. Tricky right off the bat.,bolts,3
5,Big Splash,The Dark Pool > Powell River > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/107446430/big-splash,3.0,Sport,5.10b/c,1,50.0,49.8486,-124.5287,Two potential starts. 1) Travers across canyon and start at the roof/down climb to ledge. 2) Swim over (bring your shoes and chalk and a towel) and start on ledge below roof. *True start = starting on this ledge. **Grade unconfirmed~ cleaned and climbed 3 years ago~ top may be dirty - fairly easy climb~ but interesting crux to turn the roof.     Climb passed the crux roof~ then continue slightly right and straight up.,Free solo. Caution~ control your fall~ water can still hurt if you land wrong.,1
6,Black Smear,The Slabs > Bear Mountain (AKA Bald Hill) > New Brunswick > Canada > North America > International,https://www.mountainproject.com/route/107466631/black-smear,2.0,Trad,5.10b/c X,1,20.0,45.47227,-66.50856,On the upper slabs there is a prominent black streak that narrows towards the top of the climb. Climb this black streak.,none~ solo or TR. ,1
7,Brace yourself Sheila,(a) Foreplay Left and Centre > Foreplay Cliff > (k) Evergreen Drive Crags > Skaha > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/112288433/brace-yourself-sheila,2.0,Sport,5.10b/c,1,,49.45248,-119.56586999999999,If you miss the high left hold at crux~ the route seems much harder.,7 bolts~ chain anchor.,1
8,Cabot Crack,Los Chileros > San Isidro Canyon > Nuevo Leon > Northern Mexico > Mexico > North America > International,https://www.mountainproject.com/route/116377453/cabot-crack,3.0,Sport,5.10b/c,1,75.0,25.378410000000002,-100.31211,Climbs a crack. ,Bolts,1
149,Blessed Art Though the Peacemakers,(d) Doctors' Wall > (c) Doctors' Group > Skaha > Okanagan > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/113024303/blessed-art-though-the-peacemakers,3.0,Sport,5.10c,1,80.0,49.44324,-119.56601,Easiest route that leads to the top of Doctor's Wall. Consistent 5.10 climbing with some nice moves and rests~ no surprise.   A single 70m is enough to rappel to the ground (over the boulders).,8 bolts to a chain anchor with a very nice ledge.,1
